"Series";"Time";"Value"
"hadoop";"2018-12-16T16:16:00+08:00";6,184,710,144
"hadoop";"2018-12-16T16:24:00+08:00";5,003,456,512
"hadoop";"2018-12-16T16:32:00+08:00";4,493,246,464
"hadoop";"2018-12-16T16:40:00+08:00";5,280,407,552
"hadoop";"2018-12-16T16:48:00+08:00";5,787,582,464
"hadoop";"2018-12-16T16:56:00+08:00";6,105,702,400
"hadoop";"2018-12-16T17:04:00+08:00";5,623,394,304
"hadoop";"2018-12-16T17:12:00+08:00";4,924,604,416
"hadoop";"2018-12-16T17:20:00+08:00";4,621,762,560
"hadoop";"2018-12-16T17:28:00+08:00";4,162,162,688
"hadoop";"2018-12-16T17:36:00+08:00";5,305,892,864
"hadoop";"2018-12-16T17:44:00+08:00";5,909,172,224
"hadoop";"2018-12-16T17:52:00+08:00";6,153,465,856
"hadoop";"2018-12-16T18:00:00+08:00";6,086,610,944
"hadoop";"2018-12-16T18:08:00+08:00";5,272,784,896
"hadoop";"2018-12-16T18:16:00+08:00";4,216,889,344
"hadoop";"2018-12-16T18:24:00+08:00";4,312,702,976
"hadoop";"2018-12-16T18:32:00+08:00";5,189,607,424
"hadoop";"2018-12-16T18:40:00+08:00";6,170,308,608
"hadoop";"2018-12-16T18:48:00+08:00";6,194,515,968
"hadoop";"2018-12-16T18:56:00+08:00";5,602,762,752
"hadoop";"2018-12-16T19:04:00+08:00";5,875,695,616
"hadoop";"2018-12-16T19:12:00+08:00";4,340,428,800
"hadoop";"2018-12-16T19:20:00+08:00";4,488,040,448
"hadoop";"2018-12-16T19:28:00+08:00";5,588,484,096
"hadoop";"2018-12-16T19:36:00+08:00";6,234,525,696
"hadoop";"2018-12-16T19:44:00+08:00";6,404,493,312
"hadoop";"2018-12-16T19:52:00+08:00";5,634,433,024
"hadoop";"2018-12-16T20:00:00+08:00";5,769,027,584
"hadoop";"2018-12-16T20:08:00+08:00";5,266,911,232
"hadoop";"2018-12-16T20:16:00+08:00";4,496,760,832
